tick_id,ts,A,R,C,p_hat,n_proposed,n_approved,clamp_reasons,utilization,abandonment_rate
1,0.0,50,0,0,0.3,83,79,binomial_safety_bound,0.0,0.0
2,1.0,50,79,0,0.3,83,0,binomial_safety_bound,0.0,0.0
3,2.0,50,79,0,0.3,83,0,binomial_safety_bound,0.0,0.0
4,3.0,50,79,0,0.3,83,0,binomial_safety_bound,0.0,0.0
5,4.0,50,79,0,0.3,83,0,binomial_safety_bound,0.0,0.0
6,5.0,50,78,0,0.21,119,16,binomial_safety_bound,0.0,0.0
7,6.0,48,86,2,0.3368,71,0,binomial_safety_bound,0.04,0.0
8,7.0,43,73,7,0.3029,71,0,binomial_safety_bound,0.14,0.0
9,8.0,40,50,10,0.0597,340,64,binomial_safety_bound,0.2,0.0
10,9.0,35,96,15,0.2424,74,0,binomial_safety_bound,0.3,0.0
11,10.0,34,85,16,0.3048,57,0,binomial_safety_bound,0.32,0.0
12,11.0,33,79,17,0.2459,68,0,binomial_safety_bound,0.34,0.0
13,12.0,31,76,19,0.5313,30,0,binomial_safety_bound,0.38,0.0
14,13.0,30,72,20,0.3376,46,0,binomial_safety_bound,0.4,0.0
15,14.0,30,59,20,0.0033,311,46,binomial_safety_bound,0.4,0.0
16,15.0,27,92,23,0.2232,63,0,binomial_safety_bound,0.46,0.0
17,16.0,24,71,26,0.163,78,0,binomial_safety_bound,0.52,0.0
18,17.0,22,60,27,0.2379,49,0,binomial_safety_bound,0.54,0.0
19,18.0,21,45,28,0.0364,229,18,binomial_safety_bound,0.56,0.0
20,19.0,20,60,28,0.2225,49,0,binomial_safety_bound,0.56,0.0
21,20.0,19,51,29,0.1119,93,0,binomial_safety_bound,0.58,0.0
22,21.0,19,37,29,0.0008,209,29,binomial_safety_bound,0.58,0.0
23,22.0,17,56,32,0.5221,18,0,binomial_safety_bound,0.64,0.0
24,23.0,15,52,34,0.5724,15,0,binomial_safety_bound,0.68,0.0
25,24.0,15,45,34,0.15,58,0,binomial_safety_bound,0.68,0.0
26,25.0,14,41,35,0.336,24,0,binomial_safety_bound,0.7,0.0
27,26.0,13,37,34,0.2907,26,0,binomial_safety_bound,0.68,0.0
28,27.0,12,31,34,0.1812,39,0,binomial_safety_bound,0.68,0.0
29,28.0,12,26,32,0.0305,141,9,binomial_safety_bound,0.64,0.0
30,29.0,12,23,33,0.0725,98,7,binomial_safety_bound,0.66,0.0
31,30.0,8,21,37,0.7103,8,0,binomial_safety_bound,0.74,0.0
32,31.0,10,18,37,0.2436,28,0,binomial_safety_bound,0.74,0.0
33,32.0,11,16,37,0.1194,62,9,binomial_safety_bound,0.74,0.0
34,33.0,13,24,36,0.0836,101,9,binomial_safety_bound,0.72,0.0
35,34.0,13,32,34,0.0585,144,3,binomial_safety_bound,0.68,0.0
36,35.0,13,33,34,0.0287,168,7,binomial_safety_bound,0.68,0.0
37,36.0,13,38,33,0.014,168,4,binomial_safety_bound,0.66,0.0
38,37.0,12,39,33,0.1518,51,0,binomial_safety_bound,0.66,0.0
39,38.0,13,38,33,0.1063,79,0,binomial_safety_bound,0.66,0.0
40,39.0,14,31,34,0.0592,154,8,binomial_safety_bound,0.68,0.0
41,40.0,14,34,34,0.0099,182,13,binomial_safety_bound,0.68,0.0
42,41.0,14,40,35,0.1037,88,0,binomial_safety_bound,0.7,0.0
43,42.0,13,35,37,0.2365,36,0,binomial_safety_bound,0.74,0.0
44,43.0,12,33,37,0.4159,19,0,binomial_safety_bound,0.74,0.0
45,44.0,10,26,39,0.3912,17,0,binomial_safety_bound,0.78,0.0
46,45.0,9,22,40,0.2409,27,0,binomial_safety_bound,0.8,0.0
47,46.0,9,20,40,0.1181,55,1,binomial_safety_bound,0.8,0.0
48,47.0,8,19,41,0.3578,16,0,binomial_safety_bound,0.82,0.0
49,48.0,9,15,41,0.0859,75,8,binomial_safety_bound,0.82,0.0
50,49.0,7,18,41,0.3865,14,0,binomial_safety_bound,0.82,0.0
51,50.0,4,11,44,0.2421,16,0,binomial_safety_bound,0.88,0.0
52,51.0,3,9,44,0.4186,8,0,binomial_safety_bound,0.88,0.0
53,52.0,3,9,44,0.4186,8,0,binomial_safety_bound,0.88,0.0
54,53.0,3,9,44,0.4186,8,0,binomial_safety_bound,0.88,0.0
55,54.0,5,8,43,0.293,15,1,binomial_safety_bound,0.86,0.0
56,55.0,5,8,41,0.2051,22,3,binomial_safety_bound,0.82,0.0
57,56.0,6,10,41,0.1436,35,4,binomial_safety_bound,0.82,0.0
58,57.0,5,11,42,0.2592,17,0,binomial_safety_bound,0.84,0.0
59,58.0,5,8,42,0.0889,51,6,binomial_safety_bound,0.84,0.0
60,59.0,6,14,40,0.0889,56,2,binomial_safety_bound,0.8,0.0
61,60.0,8,16,39,0.0889,74,5,binomial_safety_bound,0.78,0.0
62,61.0,8,21,38,0.0889,74,0,binomial_safety_bound,0.76,0.0
63,62.0,8,21,38,0.0889,74,0,binomial_safety_bound,0.76,0.0
64,63.0,8,21,38,0.0889,74,0,binomial_safety_bound,0.76,0.0
65,64.0,8,17,40,0.4684,14,0,binomial_safety_bound,0.8,0.0
66,65.0,9,14,39,0.1606,44,5,binomial_safety_bound,0.78,0.0
67,66.0,10,18,39,0.1125,68,6,binomial_safety_bound,0.78,0.0
68,67.0,10,21,38,0.0386,153,9,binomial_safety_bound,0.76,0.0
69,68.0,9,26,38,0.3093,22,0,binomial_safety_bound,0.76,0.0
70,69.0,9,24,38,0.1515,46,0,binomial_safety_bound,0.76,0.0
71,70.0,10,23,37,0.1061,71,1,binomial_safety_bound,0.74,0.0
72,71.0,10,22,37,0.052,146,6,binomial_safety_bound,0.74,0.0
73,72.0,11,26,36,0.0255,163,8,binomial_safety_bound,0.72,0.0
74,73.0,11,32,37,0.2225,36,0,binomial_safety_bound,0.74,0.0
75,74.0,10,29,37,0.2863,26,0,binomial_safety_bound,0.74,0.0
76,75.0,10,26,38,0.2452,30,0,binomial_safety_bound,0.76,0.0
77,76.0,9,22,39,0.2059,34,0,binomial_safety_bound,0.78,0.0
78,77.0,10,20,39,0.1009,76,5,binomial_safety_bound,0.78,0.0
79,78.0,10,20,38,0.017,154,13,binomial_safety_bound,0.76,0.0
80,79.0,11,29,36,0.0041,164,9,binomial_safety_bound,0.72,0.0
81,80.0,9,32,38,0.1538,46,0,binomial_safety_bound,0.76,0.0
82,81.0,9,30,37,0.0754,93,0,binomial_safety_bound,0.74,0.0
83,82.0,9,28,37,0.0369,140,0,binomial_safety_bound,0.74,0.0
84,83.0,10,27,37,0.0258,152,4,binomial_safety_bound,0.74,0.0
85,84.0,11,29,36,0.3127,25,0,binomial_safety_bound,0.72,0.0
86,85.0,11,26,36,0.1072,74,0,binomial_safety_bound,0.72,0.0
87,86.0,11,22,37,0.2357,34,0,binomial_safety_bound,0.74,0.0
88,87.0,10,16,38,0.1306,57,6,binomial_safety_bound,0.76,0.0
89,88.0,10,22,38,0.1306,57,0,binomial_safety_bound,0.76,0.0
90,89.0,10,15,40,0.1857,42,5,binomial_safety_bound,0.8,0.0
91,90.0,10,17,40,0.0637,133,11,binomial_safety_bound,0.8,0.0
92,91.0,10,27,40,0.0446,170,3,binomial_safety_bound,0.8,0.0
93,92.0,10,27,39,0.0153,169,7,binomial_safety_bound,0.78,0.0
94,93.0,10,34,39,0.0153,169,0,binomial_safety_bound,0.78,0.0
95,94.0,10,31,38,0.0052,168,4,binomial_safety_bound,0.76,0.0
96,95.0,10,33,38,0.0026,168,3,binomial_safety_bound,0.76,0.0
97,96.0,10,36,38,0.0026,168,0,binomial_safety_bound,0.76,0.0
98,97.0,11,32,36,0.0006,179,7,binomial_safety_bound,0.72,0.0
99,98.0,11,35,36,0.0001,179,4,binomial_safety_bound,0.72,0.0
100,99.0,11,35,36,0.21,42,0,binomial_safety_bound,0.72,0.0
101,100.0,11,29,36,0.0247,177,6,binomial_safety_bound,0.72,0.0
102,101.0,9,30,37,0.2862,26,0,binomial_safety_bound,0.74,0.0
103,102.0,9,26,38,0.4257,18,0,binomial_safety_bound,0.76,0.0
104,103.0,9,20,37,0.0501,156,7,binomial_safety_bound,0.74,0.0
105,104.0,9,24,38,0.1642,47,0,binomial_safety_bound,0.76,0.0
106,105.0,8,22,39,0.2904,25,0,binomial_safety_bound,0.78,0.0
107,106.0,8,19,39,0.2466,29,0,binomial_safety_bound,0.78,0.0
108,107.0,9,18,39,0.1726,45,1,binomial_safety_bound,0.78,0.0
109,108.0,7,14,42,0.6419,10,0,binomial_safety_bound,0.84,0.0
110,109.0,6,13,41,0.7493,8,0,binomial_safety_bound,0.82,0.0
111,110.0,5,9,40,0.3269,16,0,binomial_safety_bound,0.8,0.0
112,111.0,6,9,39,0.3269,18,1,binomial_safety_bound,0.78,0.0
113,112.0,5,8,38,0.4602,11,0,binomial_safety_bound,0.76,0.0
114,113.0,4,7,38,0.6221,7,0,binomial_safety_bound,0.76,0.0
115,114.0,6,3,36,0.1494,38,10,binomial_safety_bound,0.72,0.0
116,115.0,8,13,35,0.1494,46,4,binomial_safety_bound,0.7,0.0
117,116.0,8,15,36,0.2832,25,0,binomial_safety_bound,0.72,0.0
118,117.0,10,15,35,0.2832,29,2,binomial_safety_bound,0.7,0.0
